OBJECTID, SCHOOL_NAME, PHONE, SCHOOL_ADDRESS, CITY, STATE, ZIP_CODE, COUNTRY, HEAD_OF_SCHOOL, EMAIL_ADDRESS, WEBSITE, ENROLLMENT_SIZE, ESTABLISHED_YEAR, GRADE_BRACKETS, TUITION_RANGE, ACCREDITATION_STATUS, FEATURES, SCHOOL_SERVICES_PROGRAMS, HIFDH_PROGRAM, FACEBOOK, INSTAGRAM, TWITTER, YOUTUBE, LINKEDIN, FLICKR, FID, LATITUDE, LONGITUDE
"270","Darul Arqam Academy North","(281) 583-1984","11815 Adel Rd, Houston, TX 77067","Houston","Texas","N/A","United States","N/A","darularqamnorth@hotmail.com","http://north.darularqamschools.org","255","1993","N/A","N/A","Accredited","science lab, uniforms, Character/tarbiyah program,Tutoring Program,Sports teams,Regional and National competitions,College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/duanorth/","","","https://www.youtube.com/channel/UCQTJc5qGNpDS9mLCe4Rp_nA","","","270","29.9573449","-95.44866569999999"
"271","Daarul Uloom (DU)","(309) 691-9089","4125 W Charter Oak Rd, Peoria, IL 61615","PEORIA","Illinois","N/A","United States","N/A","du@dupeoria.org","http://www.dupeoria.org","160","2003","N/A","N/A","In the process of applying","Tutoring Program,Hifdh,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/profile.php?id=100057222798770","","","","","","271","40.7566205","-89.65818809999999"
"272","Ilm Academy","(510) 936-1572","42412 Albrae St, Fremont, CA 94538","Fremont","California","N/A","United States","N/A","principal@theilmacademy.com","http://www.theilmacademy.com","180","2010","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, After school clubs,Character/tarbiyah program,Tutoring Program,Debate,Hifdh,College dual credit,College preparatory programs","","","https://www.facebook.com/theilmacademy","","","","","","272","37.5093342","-121.9718158"
"273","The Bounty Collegium","(419) 318-9763","401 Adams St, Toledo, OH 43604","Toledo","Ohio","N/A","United States","N/A","s.m@bountyideas.com","http://bountyideas.com","86","2015","N/A","N/A","Accredited","Transportation/busing,After school clubs,Special education,Character/tarbiyah program,Tutoring Program,Debate,English Language Learner (ELL) support,Hifdh,Homeschooling support,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/TheBountyCollegium/","https://instagram.com/thebountycollegium?igshid=MDM4ZDc5MmU=","","","","","273","41.652551","-83.53419300000002"
"274","Bright Horizons Academy","(321) 312-1663","554 E Florida Ave, Melbourne, FL 32901","Melbourne","Florida","N/A","United States","N/A","info@brighthorizonsacademy.org","http://brighthorizonsacademy.org","116","2015","N/A","N/A","Accredited","scholarship, uniforms, Hifdh,Regional and National competitions,Other","","","https://www.facebook.com/people/Bright","","","","","","274","28.0567733","-80.6124346"
"275","San Francisco Islamic School","(415) 310-7003","San Francisco, CA 94131","San Francisco","California","N/A","United States","N/A","sfis.kabdullah@gmail.com","http://www.sfislamicschool.org","60","2005","N/A","N/A","In the process of applying","uniforms, Character/tarbiyah program,Tutoring Program,Sports teams","","","https://www.facebook.com/sanfranciscoislamicschool/","https://www.instagram.com/sanfranciscoislamicschool/","https://twitter.com/SFIS_USA","","","","275","37.7401042","-122.4382307"
"276","Tarbiyah Academy","(844) 827-2492","6785 Business Pkwy STE 108, Elkridge, MD 21075","Elkridge","Maryland","N/A","United States","N/A","hagaraboubakr@tarbiyahacademy.org","https://tarbiyahacademy.com/","165","2015","N/A","N/A","Other","hot lunch, scholarship, science lab, uniforms, After school clubs,International Baccalaureate (IB),Sports teams,Other","","","https://www.facebook.com/TarbiyahAcademy/","https://www.instagram.com/tarbiyahacademy/","","","https://www.linkedin.com/company/tarbiyah","","276","39.1834344","-76.7657488"
"277","Hifz Academy","(813) 628-0020","7326 E Sligh Ave, Tampa, FL 33610","Tampa","Florida","N/A","United States","N/A","director@hifzacademy.org","http://www.hifzacademy.org/","382","2011","N/A","N/A","Not accredited","hot lunch, scholarship, science lab, uniforms, Character/tarbiyah program,Tutoring Program,English Language Learner (ELL) support,Hifdh,Sports teams,Regional and National competitions,College dual credit","","","https://www.facebook.com/profile.php?id=100090603871138","","","","","","277","28.0114183","-82.37406879999999"
"278","Intellicor International Academy","(414) 539-9299","4301 Shamrock Dr, Charlotte, NC 28215","Charlotte,","North Carolina","N/A","United States","N/A","Aalaa.fouly@intellicoracademy.org","http://www.intellicoracademy.org/","270","2016","N/A","N/A","In the process of applying","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Hifdh,Regional and National competitions,College dual credit","","","https://www.facebook.com/IntellicorInternationalAcademy/","https://www.instagram.com/intellicoria/","","https://www.youtube.com/@intellicorinternationalaca8626","https://www.linkedin.com/company/intellicor","","278","35.2300573","-80.7504573"
"280","Al-Huda School","(301) 982-2402","5301 Edgewood Rd, College Park, MD 20740","College Park","Maryland","N/A","United States","N/A","office@alhuda.org","http://www.alhuda.org","612","1996","N/A","N/A","Accredited","hot lunch, science lab, uniforms, After school clubs,Hifdh,Homeschooling support,Sports teams,Advanced Placement (AP),College preparatory programs,Alumni association","","","https://www.facebook.com/AlHudaSchoolCollegePark","https://www.instagram.com/alhudaschoolmd/","","https://www.youtube.com/channel/UCA5hW38rhWaH0uZvJHy4HgQ","","","280","39.0147965","-76.911636"
"281","An-Noor Quran Academy","(919) 834-9537","808 Atwater St, Raleigh, NC 27607","Raleigh","North Carolina","N/A","United States","N/A","office@annoorquranacademy.org","http:////annoorquranacademy.org/","100","2009","N/A","N/A","Not accredited","Character/tarbiyah program,Tutoring Program,Hifdh","","","https://www.facebook.com/AnNoorQuranAcademy/","","","https://www.youtube.com/watch?v=xQKjwsTca","","","281","35.7898048","-78.69119789999999"
"282","Islamic School of Louisville","(502) 412-7825","8215 Old Westport Rd, Louisville, KY 40222","Louisville","Kentucky","N/A","United States","N/A","william.white@isofl.org","http://www.isofl.info/","145","2001","N/A","N/A","Accredited","After school clubs,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program","","","https://www.facebook.com/IslamicSchoolofLouisville/","https://www.instagram.com/islamicschooloflouisville/","","","","","282","38.2785691","-85.5983869"
"283","Ibn Seena Academy","(407) 888-1000","12908 S Orange Blossom Trl, Orlando, FL 32837","Orlando","Florida","N/A","United States","N/A","info@ibnseenaacademy.org","http://isacademy.net","288","2003","N/A","N/A","Not accredited","hot lunch, scholarship, science lab, uniforms, After school clubs,Special education,Character/tarbiyah program,Tutoring Program,Hifdh,Advanced Placement (AP),College dual credit","","","https://www.facebook.com/profile.php?id=755654527815571","","","","https://www.linkedin.com/company/ibn","","283","28.3760069","-81.405311"
"284","Al-Arqam Islamic School & College Preparatory","(916) 391-3333","6990 65th St, Sacramento, CA 95823","Sacramento","California","N/A","United States","N/A","Adminoffice@arqamschool.org","http://Aisacp.org","454","1998","N/A","N/A","Accredited","Character/tarbiyah program,International Baccalaureate (IB),Debate,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs","","","https://www.facebook.com/aisacp/","","https://twitter.com/ACPTorchbearers","","https://www.linkedin.com/school/al","","284","38.4997141","-121.4394625"
"285","Legacy International Online High School","(918) 212-4696","5301 S Sheridan Rd #615, Tulsa, OK 74145","TULSA","Oklahoma","N/A","United States","N/A","office@legacyiohs.org","http://legacyiohs.org","127","2018","N/A","N/A","Accredited","After school clubs,Character/tarbiyah program,Debate,Digital citizenship education,Homeschooling support,Regional and National competitions,College preparatory programs","","","https://www.facebook.com/legacyintonline/","https://www.instagram.com/legacyiohs/?hl=en","https://twitter.com/legacyintonline?lang=en","https://www.youtube.com/@liohs","https://www.linkedin.com/company/legacyiohs/about/","","285","36.0867663","-95.9043745"
"286","Nashville International Academy","(615) 352-5903","7335 Charlotte Pike, Nashville, TN 37209","Nashville","Tennessee","N/A","United States","N/A","principal@niatn.org","http://www.niatn.org","150","1995","N/A","N/A","Accredited","scholarship, science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Tutoring Program,Debate,Digital citizenship education,English Language Learner (ELL) support,Hifdh,Regional and National competitions,College dual credit,College preparatory programs,Other","","","https://www.facebook.com/NIATN/","instagram.com/nashvilleinternationalacademy/","","","https://www.linkedin.com/company/nashville","","286","36.1174742","-86.92015119999999"
"287","Universal Academy of Pittsburgh","(412) 241-2124","2103 Hampton Ave, Swissvale, PA 15218","Pittsburgh","Pennsylvania","N/A","United States","N/A","info@uapschool.org","http://www.uapschool.org","125","1999","N/A","N/A","Accredited","Transportation/busing,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,Debate,English Language Learner (ELL) support,Hifdh,Sports teams,Regional and National competitions","","","https://www.facebook.com/UAPSCHOOL","https://www.instagram.com/uap_school/?hl=en","https://twitter.com/home?lang=en","","","","287","40.4251264","-79.882119"
"288","AL-Noor Academy","(781) 784-0400","86 Chase Dr, Sharon, MA 02067","Sharon","Massachusetts","N/A","United States","N/A","nkhalil@alnooracademy.org","http://alnooracademy.org","237","1996","N/A","N/A","Accredited","uniforms, After school clubs,Tutoring Program,Regional and National competitions,College dual credit","","","https://www.facebook.com/alnooracademySharon/","","https://twitter.com/alnoorSharon","","","","288","42.0973214","-71.1946473"
"289","Tarteel School","(425) 998-8606","15600 NE 8th St, Bellevue, WA 98007","Bellevue","Washington","N/A","United States","N/A","tarteelschool@gmail.com","http://Tarteelschool.com","50","2015","N/A","N/A","In the process of applying","After school clubs,Character/tarbiyah program,Tutoring Program,English Language Learner (ELL) support,Hifdh","","","https://www.facebook.com/TarteelSchool/","","","","","","289","47.6173467","-122.1314553"
"290","Houston Peace Academy","(281) 257-8988","17600 Old Louetta Rd, Spring, TX 77379","Houston","Texas","N/A","United States","N/A","admin@houstonpeace.org","http://houstonpeace.org","50","2010","N/A","N/A","Accredited","hot lunch, uniforms, After school clubs,Character/tarbiyah program,Montessori curriculum/program,Regional and National competitions","","","https://www.facebook.com/Houston.Peace.Academy/","https://www.instagram.com/hpa.houstonpeace/","","https://www.youtube.com/HoustonPeaceAcademy","https://www.linkedin.com/company/houston","","290","30.0086411","-95.56233379999999"
"291","International Leadership School","(260) 483-9911","6413 N Clinton St, Fort Wayne, IN 46825","Fort Wayne","Indiana","N/A","United States","N/A","dali@isoni.org","http://www.isoni.org","350","2019","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Special education,Tutoring Program,Debate,English Language Learner (ELL) support,Sports teams","","","https://www.facebook.com/ILS46825/","","","","","","291","41.13792369999999","-85.11994109999999"
"292","Universal Academy of Florida","(201) 744-3472","6801 Orient Rd, Tampa, FL 33610","Tampa","Florida","N/A","United States","N/A","emane@uaftampa.org","http://www.uaftampa.org","750","1992","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Tutoring Program,Hifdh,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/uaftampa","https://www.instagram.com/universalacademyofflorida/?hl=en","","https://www.youtube.com/user/UAFTampa","https://www.linkedin.com/school/universal","","292","28.0101307","-82.3717597"
"293","Pleasant View School","(901) 380-0122","1888 Bartlett Rd, Bartlett, TN 38134","Memphis","Tennessee","N/A","United States","N/A","administration@pleasantviewschool.com","http://www.pleasantviewschool.org","452","1997","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Tutoring Program,English Language Learner (ELL) support,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs","","","https://www.facebook.com/pvsmemphis","https://www.instagram.com/officialpvs/","","https://www.youtube.com/channel/UChMcdyU0ETiCKElShSUadYQ","https://www.linkedin.com/company/pleasant","","293","35.1770882","-89.8793821"
"294","Al-Salam Day School","(636) 394-8986","519 Weidman Rd, Ballwin, MO 63011","St. Louis","Missouri","N/A","United States","N/A","admin@alsalamdayschool.org","http://alsalamds.org","315","1990","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, After school clubs,Character/tarbiyah program,Montessori curriculum/program,Tutoring Program,Debate,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs","","","https://www.facebook.com/alsalamdayschool/","https://www.instagram.com/alsalamdayschool/","","","","","294","38.6030034","-90.4961044"
"295","Washington International Academy","(703) 941-6977","6408 Edsall Rd, Alexandria, VA 22312","Alexandria","Virginia","N/A","United States","N/A","office@wiaschool.org","http://www.wiacademy.org","145","2000","N/A","N/A","Accredited","scholarship, science lab, uniforms, After school clubs,Montessori curriculum/program,Sports teams","","","https://www.facebook.com/wiacademy","","https://twitter.com/wiatweet","","","","295","38.8051113","-77.1577734"
"296","Eman Schools","(317) 845-9466","11965 Allisonville Rd, Fishers, IN 46038","Fishers","Indiana","N/A","United States","N/A","srashid@emanschool.net","http://emanschool.net","400","2005","N/A","N/A","Granted candidacy status","Mohammed El-Kurd:, After school clubs,Tutoring Program,Hifdh,Sports teams,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs","","","https://www.facebook.com/EMANSCHOOLS2005","https://www.instagram.com/theemanschool/?igshid=YmMyMTA2M2Y%3D","https://twitter.com/emanschools","","","","296","39.961416","-86.0372721"
"297","Al-Huda Islamic School","(310) 973-0500","12227 Hawthorne Way, Hawthorne, CA 90250","Hawthorne","California","N/A","United States","N/A","pricipal.alhuda1@alhudala.org","http://www.alhudala.org","155","1998","N/A","N/A","Accredited","hot lunch, uniforms, After school clubs,Tutoring Program,Sports teams,Other","","","","","","","","","297","33.9213601","-118.3538423"
"298","Muslim Center Junior High School","(718) 460-2127","137-58 Geranium Ave, Queens, NY 11355","Flushing","New York","N/A","United States","N/A","office@mcjhs.org","http://mcjhs.org/","153","1997","N/A","N/A","Not accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,Special education,Character/tarbiyah program,Tutoring Program,Regional and National competitions","","","https://www.facebook.com/muslimcenterjuniorhighschool","","","","","","298","40.75085","-73.820452"
"299","Furqaan Academy","(630) 739-3100","519 E Briarcliff Rd, Bolingbrook, IL 60440","Bolingbrook","Illinois","N/A","United States","N/A","fabb@furqaan.org","http://furqaanacademy.org","146","2008","N/A","N/A","Accredited","scholarship, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Debate,English Language Learner (ELL) support,Hifdh,Regional and National competitions,Advanced Placement (AP),Alumni association","","","https://www.facebook.com/FurqaanAcademyBolingbrook/","","","","","","299","41.69864219999999","-88.0453033"
"300","Greensboro islamic Academy","(336) 285-7766","900 Sixteenth St, Greensboro, NC 27405","Greensboro","North Carolina","N/A","United States","N/A","kjbherrington@gmail.com","http://gianc.org","202","2003","N/A","N/A","Not accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Tutoring Program,Sports teams","","","","","","","","","300","36.10835429999999","-79.7776215"
"301","Houston Quran Academy","(281) 717-4622","1902 Baker Rd, Houston, TX 77094","Houston","Texas","N/A","United States","N/A","skhalid@hquranacademy.org","http://hquranacademy.org/home/","290","2009","N/A","N/A","Accredited","After school clubs,Character/tarbiyah program,Montessori curriculum/program,Hifdh,Advanced Placement (AP),College dual credit","","","https://www.facebook.com/profile.php?id=100068405439735","","","https://www.youtube.com/channel/UCbigcsNQn9X5n5jDBb3kKkA","","","301","29.7605572","-95.70341839999999"
"302","Madina Academy","(860) 219-0569","519 Palisado Ave, Windsor, CT 06095","Windsor","Connecticut","N/A","United States","N/A","principal@madinaacademy.org","http://www.madinaacademy.org","200","1998","N/A","N/A","Accredited","hot lunch, science lab, uniforms, After school clubs,Special education,Character/tarbiyah program,Tutoring Program,Regional and National competitions,College dual credit,College preparatory programs","","","","https://www.instagram.com/madinaacademyct/?hl=en","","","","","302","41.8706229","-72.62930109999999"
"303","Al Furqan Quran Academy","(313) 584-4464","4430 St James St, Detroit, MI 48210","Detroit","Michigan","N/A","United States","N/A","www.info@quran-institute.org","http://www.quran-institute.org","160","2012","N/A","N/A","Not accredited","Transportation/busing,Character/tarbiyah program,Tutoring Program,English Language Learner (ELL) support,Hifdh,Sports teams,Regional and National competitions","","","https://www.facebook.com/FQAcademy/","https://www.instagram.com/qiadetroit/","https://twitter.com/qiadetroit","https://www.youtube.com/channel/UC__I4YR9UrkCUl1uzMiKCxA","","","303","42.3288716","-83.14992149999999"
"304","Little Scholars Islamic Montessori","(201) 647-7229","Yale Ct, Paramus, NJ 07652","Paramus","NEW JERSEY","N/A","United States","N/A","Sighareeya7@hotmail.com","","10","2012","N/A","N/A","Other","Montessori curriculum/program","","","https://m.facebook.com/profile.php?id=100047611105285","https://instagram.com/littlescholars?igshid=YmMyMTA2M2Y=","","","","","304","40.935558","-74.0504846"
